ENSP00000274459	ENSG00000145782	ATG12
ENSP00000274458	ENSG00000145781	COMMD10
ENSP00000409335	ENSG00000113360	DROSHA
ENSP00000393555	ENSG00000213066	FGFR1OP
ENSP00000393556	ENSG00000233404	AC005035.1
ENSP00000274456	ENSG00000145779	TNFAIP8
ENSP00000393550	ENSG00000248857	KIAA1210
ENSP00000393551	ENSG00000007392	LUC7L
ENSP00000393552	ENSG00000171163	ZNF692
ENSP00000393553	ENSG00000132670	PTPRA
ENSP00000328422	ENSG00000183657	AC078953.1
ENSP00000328423	ENSG00000183324	C15orf60
ENSP00000328420	ENSG00000136696	IL1F8
ENSP00000432548	ENSG00000180035	ZNF48
ENSP00000328426	ENSG00000108021	C10orf18
ENSP00000432543	ENSG00000163346	PBXIP1
ENSP00000432542	ENSG00000149273	RPS3
ENSP00000432541	ENSG00000109861	CTSC
ENSP00000432540	ENSG00000134215	VAV3
ENSP00000432547	ENSG00000243710	WDR65
ENSP00000432546	ENSG00000110723	EXPH5
ENSP00000432545	ENSG00000176654	NANOGP1
ENSP00000432544	ENSG00000147548	WHSC1L1
ENSP00000414497	ENSG00000167244	IGF2
ENSP00000261353	ENSG00000119801	YPEL5
ENSP00000362635	ENSG00000146192	FGD2
ENSP00000344392	ENSG00000103351	CLUAP1
ENSP00000344393	ENSG00000119616	FCF1
ENSP00000376919	ENSG00000108848	LUC7L3
ENSP00000376918	ENSG00000173714	WFIKKN2
ENSP00000376915	ENSG00000087053	MTMR2
ENSP00000376914	ENSG00000017260	ATP2C1
ENSP00000376916	ENSG00000154118	JPH3
ENSP00000376911	ENSG00000100600	LGMN
ENSP00000376910	ENSG00000133640	LRRIQ1
ENSP00000376913	ENSG00000107290	SETX
ENSP00000377527	ENSG00000173599	PC
ENSP00000362634	ENSG00000162526	TSSK3
ENSP00000408060	ENSG00000198157	HMGN5
ENSP00000408062	ENSG00000106263	EIF3B
ENSP00000408065	ENSG00000183765	CHEK2
ENSP00000408067	ENSG00000230624	DDX39B
ENSP00000408066	ENSG00000010626	LRRC23
ENSP00000408068	ENSG00000155229	MMS19
ENSP00000427947	ENSG00000164953	TMEM67
ENSP00000387308	ENSG00000138079	SLC3A1
ENSP00000387309	ENSG00000115526	CHST10
ENSP00000287820	ENSG00000132170	PPARG
ENSP00000399087	ENSG00000175344	CHRNA7
ENSP00000387300	ENSG00000197380	DACT3
ENSP00000387301	ENSG00000136710	CCDC115
ENSP00000387303	ENSG00000156414	TDRD9
ENSP00000387305	ENSG00000163002	NUP35
ENSP00000387307	ENSG00000222014	RAB6C
ENSP00000380657	ENSG00000184708	EIF4ENIF1
ENSP00000380654	ENSG00000184708	EIF4ENIF1
ENSP00000380653	ENSG00000164985	PSIP1
ENSP00000380652	ENSG00000184708	EIF4ENIF1
ENSP00000380651	ENSG00000102572	STK24
ENSP00000380650	ENSG00000103275	UBE2I
ENSP00000427942	ENSG00000157570	TSPAN18
ENSP00000380659	ENSG00000184708	EIF4ENIF1
ENSP00000380658	ENSG00000126001	CEP250
ENSP00000373242	ENSG00000047849	MAP4
ENSP00000373243	ENSG00000047849	MAP4
ENSP00000373240	ENSG00000114268	PFKFB4
ENSP00000373246	ENSG00000160796	NBEAL2
ENSP00000373244	ENSG00000114646	CSPG5
ENSP00000373245	ENSG00000114650	SCAP
ENSP00000373248	ENSG00000178038	ALS2CL
ENSP00000309457	ENSG00000006715	VPS41
ENSP00000298492	ENSG00000165660	FAM175B
ENSP00000427948	ENSG00000147457	CHMP7
ENSP00000430945	ENSG00000181790	BAI1
ENSP00000430944	ENSG00000025770	NCAPH2
ENSP00000333266	ENSG00000182179	UBA7
ENSP00000430946	ENSG00000086589	RBM22
ENSP00000430941	ENSG00000164808	KIAA0146
ENSP00000333261	ENSG00000124920	C11orf9
ENSP00000430943	ENSG00000104299	INTS9
ENSP00000260008	ENSG00000137460	FHDC1
ENSP00000430949	ENSG00000171604	CXXC5
ENSP00000430948	ENSG00000164620	RELL2
ENSP00000363056	ENSG00000088367	EPB41L1
ENSP00000363057	ENSG00000088367	EPB41L1
ENSP00000363054	ENSG00000117758	STX12
ENSP00000363055	ENSG00000122952	ZWINT
ENSP00000363052	ENSG00000088367	EPB41L1
ENSP00000363051	ENSG00000122952	ZWINT
ENSP00000398350	ENSG00000175573	C11orf68
ENSP00000411395	ENSG00000143384	MCL1
ENSP00000337008	ENSG00000122482	ZNF644
ENSP00000304854	ENSG00000170584	NUDCD2
ENSP00000420301	ENSG00000181315	ZNF322A
ENSP00000372112	ENSG00000180185	FAHD1
ENSP00000372114	ENSG00000180185	FAHD1
ENSP00000372117	ENSG00000185627	PSMD13
ENSP00000372119	ENSG00000242389	RBMY1E
ENSP00000424903	ENSG00000242259	C22orf39
ENSP00000442493	ENSG00000187790	FANCM
ENSP00000383106	ENSG00000125826	RBCK1
ENSP00000299727	ENSG00000166573	GALR1
ENSP00000383105	ENSG00000100150	DEPDC5
ENSP00000383102	ENSG00000125826	RBCK1
ENSP00000383103	ENSG00000125826	RBCK1
ENSP00000383100	ENSG00000206430	NCR3
ENSP00000299721	ENSG00000166569	CPLX4
ENSP00000383108	ENSG00000100150	DEPDC5
ENSP00000383109	ENSG00000206433	LST1
ENSP00000301873	ENSG00000168056	LTBP3
ENSP00000301874	ENSG00000168056	LTBP3
ENSP00000302783	ENSG00000170043	TRAPPC1
ENSP00000302781	ENSG00000169031	COL4A3
ENSP00000411500	ENSG00000226437	TRIM39
ENSP00000368093	ENSG00000137177	KIF13A
ENSP00000339659	ENSG00000109654	TRIM2
ENSP00000297203	ENSG00000164645	C7orf62
ENSP00000274849	ENSG00000146109	ABT1
ENSP00000435238	ENSG00000137501	SYTL2
ENSP00000435239	ENSG00000173914	RBM4B
ENSP00000400280	ENSG00000226417	CLIC1
ENSP00000435230	ENSG00000174015	SPERT
ENSP00000435231	ENSG00000182919	C11orf54
ENSP00000435232	ENSG00000183309	ZNF623
ENSP00000435233	ENSG00000187079	TEAD1
ENSP00000435234	ENSG00000204532	ZSCAN5C
ENSP00000435235	ENSG00000205339	IPO7
