ENSP00000260008	FHDC1
ENSP00000430949	CXXC5
ENSP00000430948	RELL2
ENSP00000363056	EPB41L1
ENSP00000363057	EPB41L1
ENSP00000363054	STX12
ENSP00000363055	ZWINT
ENSP00000363052	EPB41L1
ENSP00000363051	ZWINT
ENSP00000398350	C11orf68
ENSP00000411395	MCL1
ENSP00000337008	ZNF644
ENSP00000304854	NUDCD2
ENSP00000420301	ZNF322A
ENSP00000372112	FAHD1
ENSP00000372114	FAHD1
ENSP00000372117	PSMD13
ENSP00000372119	RBMY1E
ENSP00000424903	C22orf39
ENSP00000442493	FANCM
ENSP00000383106	RBCK1
ENSP00000299727	GALR1
ENSP00000383105	DEPDC5
ENSP00000383102	RBCK1
ENSP00000383103	RBCK1
ENSP00000383100	NCR3
ENSP00000299721	CPLX4
ENSP00000383108	DEPDC5
ENSP00000383109	LST1
ENSP00000301873	LTBP3
ENSP00000301874	LTBP3
ENSP00000302783	TRAPPC1
ENSP00000302781	COL4A3
ENSP00000411500	TRIM39
ENSP00000368093	KIF13A
ENSP00000339659	TRIM2
ENSP00000297203	C7orf62
ENSP00000274849	ABT1
ENSP00000435238	SYTL2
ENSP00000435239	RBM4B
ENSP00000400280	CLIC1
ENSP00000435230	SPERT
ENSP00000435231	C11orf54
ENSP00000435232	ZNF623
ENSP00000435233	TEAD1
ENSP00000435234	ZSCAN5C
ENSP00000435235	IPO7
ENSP00000435236	REPS1
ENSP00000435237	MAP3K11
ENSP00000385025	SMCR8
ENSP00000400284	OR4F17
ENSP00000414143	C20orf90
ENSP00000418455	IFT80
ENSP00000418454	PDE6B
ENSP00000418457	ARMC8
ENSP00000418456	SLC2A2
ENSP00000418451	MRPS33
ENSP00000418450	CREM
ENSP00000418453	OFCC1
ENSP00000418452	IQCJ-SCHIP1
ENSP00000379855	PIK3R1
ENSP00000441611	NTN1
ENSP00000379857	GLIPR2
ENSP00000418459	KCTD20
ENSP00000418458	C9orf68
ENSP00000441610	MAP2K4
ENSP00000408803	TMEM111
ENSP00000408802	CARS
ENSP00000408801	SLC1A3
ENSP00000408800	MYO15A
ENSP00000408806	MRPL43
ENSP00000378180	BRD7
ENSP00000378181	BRD7
ENSP00000378182	STX5
ENSP00000378183	PLEKHG3
ENSP00000378184	RHOT1
ENSP00000303437	TSNARE1
ENSP00000303434	USP38
ENSP00000378187	ADCY7
ENSP00000359978	HHLA3
ENSP00000359970	PTGER3
ENSP00000359972	PTGER3
ENSP00000359973	ENOX2
ENSP00000310193	TBC1D10C
ENSP00000359976	CTH
ENSP00000359977	FBXO9
ENSP00000397629	UNC13D
ENSP00000397625	APOL1
ENSP00000397622	AC107021.1
ENSP00000397623	C2orf18
ENSP00000397620	TMEM8A
ENSP00000381929	DYRK1A
ENSP00000419620	AADAC
ENSP00000248228	CLEC4M
ENSP00000390636	SHANK2
ENSP00000272879	CASP10
ENSP00000390630	RIMBP3C
ENSP00000267008	ACVRL1
ENSP00000419324	WDR45
ENSP00000419325	SUCLG2
ENSP00000419327	SND1
ENSP00000419320	RFC2
ENSP00000378729	ALDOC
ENSP00000419322	ZNF148
ENSP00000378725	KTN1
ENSP00000412757	C9orf86
ENSP00000419328	MCCC1
ENSP00000378721	SEC31A
ENSP00000378722	KTN1
ENSP00000378723	HLA-DMB
ENSP00000334779	PPIP5K1
ENSP00000363809	SLC39A7
ENSP00000363808	HSPG2
ENSP00000363805	HSPG2
ENSP00000363804	KLF4
ENSP00000363807	SLC39A7
ENSP00000370532	GTF3A
ENSP00000432342	CDCA5
ENSP00000336735	PALLD
ENSP00000336733	ST6GALNAC4
